,f,i,cats,mr,c,smp,srd,best
79,Ackley,200,50,0.1,3.0,40,0.8,7.739449081611838e-10
80,Ackley,200,50,0.3,0.5,5,0.1,2.6532646072379227
81,Ackley,200,50,0.3,0.5,5,0.3,0.022402089949882242
82,Ackley,200,50,0.3,0.5,5,0.5,0.0005890277687403689
83,Ackley,200,50,0.3,0.5,5,0.8,2.539683845448337e-07
84,Ackley,200,50,0.3,0.5,10,0.1,2.7737846248683202
85,Ackley,200,50,0.3,0.5,10,0.3,0.078112549248051
86,Ackley,200,50,0.3,0.5,10,0.5,0.0005028825520381197
87,Ackley,200,50,0.3,0.5,10,0.8,2.4345937217340463e-06
88,Ackley,200,50,0.3,0.5,20,0.1,2.7181819351888845
89,Ackley,200,50,0.3,0.5,20,0.3,0.04394047486209063
90,Ackley,200,50,0.3,0.5,20,0.5,0.0018946471994607528
91,Ackley,200,50,0.3,0.5,20,0.8,2.3230920480621364e-06
92,Ackley,200,50,0.3,0.5,40,0.1,2.997058624697179
93,Ackley,200,50,0.3,0.5,40,0.3,0.044551951171439175
94,Ackley,200,50,0.3,0.5,40,0.5,0.0017070326853105833
95,Ackley,200,50,0.3,0.5,40,0.8,1.7762068833526712e-06
96,Ackley,200,50,0.3,1.0,5,0.1,2.591150482766747
97,Ackley,200,50,0.3,1.0,5,0.3,0.08959588511777783
98,Ackley,200,50,0.3,1.0,5,0.5,0.0005687241885117267
99,Ackley,200,50,0.3,1.0,5,0.8,4.1214365653630125e-07
100,Ackley,200,50,0.3,1.0,10,0.1,3.5244588293024646
101,Ackley,200,50,0.3,1.0,10,0.3,0.08834134625456302
102,Ackley,200,50,0.3,1.0,10,0.5,0.000671362882329607
103,Ackley,200,50,0.3,1.0,10,0.8,2.521603569949349e-06
104,Ackley,200,50,0.3,1.0,20,0.1,2.362208975149422
105,Ackley,200,50,0.3,1.0,20,0.3,0.11793015142206231
106,Ackley,200,50,0.3,1.0,20,0.5,0.0005028587461173295
107,Ackley,200,50,0.3,1.0,20,0.8,5.885946632311345e-07
108,Ackley,200,50,0.3,1.0,40,0.1,2.2791143200536585
109,Ackley,200,50,0.3,1.0,40,0.3,0.08523405758202474
110,Ackley,200,50,0.3,1.0,40,0.5,0.0007808333317140814
111,Ackley,200,50,0.3,1.0,40,0.8,1.5643008635102262e-06
112,Ackley,200,50,0.3,1.5,5,0.1,2.338857417086779
113,Ackley,200,50,0.3,1.5,5,0.3,0.07967646317188626
114,Ackley,200,50,0.3,1.5,5,0.5,0.0006445547447921918
115,Ackley,200,50,0.3,1.5,5,0.8,3.571283717640483e-07
116,Ackley,200,50,0.3,1.5,10,0.1,2.90910981219939
117,Ackley,200,50,0.3,1.5,10,0.3,0.0474141622344999
118,Ackley,200,50,0.3,1.5,10,0.5,0.0006956661644150763
119,Ackley,200,50,0.3,1.5,10,0.8,3.491205236016981e-08
120,Ackley,200,50,0.3,1.5,20,0.1,3.1793547761729575
121,Ackley,200,50,0.3,1.5,20,0.3,0.12044599652706056
122,Ackley,200,50,0.3,1.5,20,0.5,0.0031703977941437422
123,Ackley,200,50,0.3,1.5,20,0.8,5.867815570770318e-06
124,Ackley,200,50,0.3,1.5,40,0.1,2.619848109039147
125,Ackley,200,50,0.3,1.5,40,0.3,0.13764601260196985
126,Ackley,200,50,0.3,1.5,40,0.5,0.002140334167812785
127,Ackley,200,50,0.3,1.5,40,0.8,4.1342360188600935e-06
128,Ackley,200,50,0.3,2.0,5,0.1,0.8800311154739195
129,Ackley,200,50,0.3,2.0,5,0.3,0.14724270244397575
130,Ackley,200,50,0.3,2.0,5,0.5,0.00044049461723405514
131,Ackley,200,50,0.3,2.0,5,0.8,2.9127606464562916e-06
132,Ackley,200,50,0.3,2.0,10,0.1,2.612849587237698
133,Ackley,200,50,0.3,2.0,10,0.3,0.25089910703897234
134,Ackley,200,50,0.3,2.0,10,0.5,0.0005396255455640819
135,Ackley,200,50,0.3,2.0,10,0.8,1.7479987090229798e-05
136,Ackley,200,50,0.3,2.0,20,0.1,2.7089362943789763
137,Ackley,200,50,0.3,2.0,20,0.3,0.12699338678350758
138,Ackley,200,50,0.3,2.0,20,0.5,0.005278729858514186
